Hashtag,User_ID,Count,
,,,38
#PolariseForVotes,9.64092E+17,1,
,,,
#PolariseForVotes,9.35237E+17,1,
,,,
#PolariseForVotes,9.56861E+17,1,
,,,
#PolariseForVotes,93617861,1,
,,,
#PolariseForVotes,7.38572E+17,1,
,,,
#PolariseForVotes,9.52474E+17,1,
,,,
#PolariseForVotes,9.59129E+17,1,
,,,
#PolariseForVotes,8.10765E+17,1,
,,,
#PolariseForVotes,9.47395E+17,1,
,,,
#PolariseForVotes,2148732618,1,
,,,
#PolariseForVotes,8.32808E+17,1,
,,,
#PolariseForVotes,3360396800,2,
,,,
#PolariseForVotes,231808822,1,
,,,
#PolariseForVotes,263978005,1,
,,,
#PolariseForVotes,1920333115,6,
,,,
#PolariseForVotes,8.72106E+17,1,
,,,
#PolariseForVotes,767496529,1,
,,,
#PolariseForVotes,9.46779E+17,1,
,,,
#PolariseForVotes,526411300,1,
,,,
#PolariseForVotes,9.54309E+17,2,
,,,
#PolariseForVotes,80887730,1,
,,,
#PolariseForVotes,325391105,10,
,,,
#PolariseForVotes,9.64404E+17,2,
,,,
#PolariseForVotes,8.14478E+17,1,
,,,
#PolariseForVotes,949113210,1,
,,,
#PolariseForVotes,2458656360,1,
,,,
#PolariseForVotes,8.85435E+17,1,
,,,
#PolariseForVotes,2318500106,1,
,,,
#PolariseForVotes,288779167,1,
,,,
#PolariseForVotes,2533069094,4,
,,,
#PolariseForVotes,209484505,2,
,,,
#PolariseForVotes,969090522,1,
,,,
#PolariseForVotes,358151844,1,
,,,
#PolariseForVotes,1135835516,1,
,,,
#PolariseForVotes,3759620419,1,
,,,
#PolariseForVotes,8.30128E+17,1,
,,,
#PolariseForVotes,2271203899,1,
,,,
#PolariseForVotes,1428539137,2,
,,,
#PolariseForVotes,4568445133,1,
,,,
#PolariseForVotes,429601885,1,
,,,
#PolariseForVotes,8.57121E+17,1,
,,,
#PolariseForVotes,7.98916E+17,1,
,,,
#PolariseForVotes,1433659428,1,
,,,
#PolariseForVotes,2520479258,1,
,,,
#PolariseForVotes,2454446730,1,
,,,
#PolariseForVotes,2895532598,1,
,,,
#PolariseForVotes,7.30621E+17,2,
,,,
#PolariseForVotes,76266461,1,
,,,
#PolariseForVotes,560774426,1,
,,,
#PolariseForVotes,1666873268,5,
,,,
#PolariseForVotes,2924925248,1,
,,,
#PolariseForVotes,9.16287E+17,1,
,,,
#PolariseForVotes,3167624817,1,
,,,
#PolariseForVotes,8.98208E+17,1,
,,,
#PolariseForVotes,9.15586E+17,1,
,,,
#PolariseForVotes,52797829,3,
,,,
#PolariseForVotes,9.28887E+17,1,
,,,
#PolariseForVotes,2186150417,1,
,,,
#PolariseForVotes,2189817565,1,
,,,
#PolariseForVotes,333950209,1,
,,,
#PolariseForVotes,233803434,1,
,,,
#PolariseForVotes,4831889009,1,
,,,
#PolariseForVotes,2538055050,1,
,,,
#PolariseForVotes,4245759614,2,
,,,
#PolariseForVotes,2300772804,1,
,,,
#PolariseForVotes,158374641,2,
,,,
#PolariseForVotes,2511527588,1,
,,,
#PolariseForVotes,9.37226E+17,1,
,,,
#PolariseForVotes,4920248730,1,
,,,
#PolariseForVotes,8.17782E+17,1,
,,,
#PolariseForVotes,9.72521E+17,1,
,,,
#PolariseForVotes,134710974,1,
,,,
#PolariseForVotes,8.7052E+17,1,
,,,
#PolariseForVotes,9.38014E+17,1,
,,,
#PolariseForVotes,2515370004,1,
,,,
#PolariseForVotes,2258446142,2,
,,,
#PolariseForVotes,332156005,1,
,,,
#PolariseForVotes,8.44125E+17,1,
,,,
#PolariseForVotes,242639576,1,
,,,
#PolariseForVotes,386516289,1,
,,,
#PolariseForVotes,154089353,1,
,,,
#PolariseForVotes,8.67432E+17,1,
,,,
#PolariseForVotes,270438329,1,
,,,
#PolariseForVotes,1716223998,1,
,,,
#PolariseForVotes,9.77504E+17,1,
,,,
#PolariseForVotes,3672279145,1,
,,,
#PolariseForVotes,278086623,1,
,,,
#PolariseForVotes,61544465,1,
,,,
#PolariseForVotes,226083038,1,
,,,
#PolariseForVotes,7.08965E+17,1,
,,,
#PolariseForVotes,399985651,5,
,,,
#PolariseForVotes,153326235,1,
,,,
#PolariseForVotes,7.28965E+17,4,
,,,
#PolariseForVotes,802036752,1,
,,,
#PolariseForVotes,284321286,1,
,,,
#PolariseForVotes,173064517,1,
,,,
#PolariseForVotes,2828338730,1,
,,,
#PolariseForVotes,2472440202,1,
,,,
#PolariseForVotes,474105449,1,
,,,
#PolariseForVotes,7.61427E+17,1,
,,,
#PolariseForVotes,8.83333E+17,1,
,,,
#PolariseForVotes,9.15926E+17,1,
,,,
#PolariseForVotes,89698086,1,
,,,
#PolariseForVotes,299259954,6,
,,,
#PolariseForVotes,1607206424,1,
,,,
#PolariseForVotes,8.89087E+17,1,
,,,
#PolariseForVotes,420059704,1,
,,,
#PolariseForVotes,8.11972E+17,38,
,,,
#PolariseForVotes,8.98587E+17,2,
,,,
#PolariseForVotes,3253325196,1,
,,,
#PolariseForVotes,87844723,1,
,,,
#PolariseForVotes,1893857718,1,
,,,
#PolariseForVotes,9.65623E+17,1,
,,,
#PolariseForVotes,8.57156E+17,1,
,,,
#PolariseForVotes,7.95916E+17,1,
,,,
#PolariseForVotes,250955586,1,
,,,
#PolariseForVotes,3460126159,1,
,,,
#PolariseForVotes,9.67283E+17,1,
,,,
#PolariseForVotes,9.5103E+17,1,
,,,
#PolariseForVotes,17453539,1,
,,,
#PolariseForVotes,8.85644E+17,1,
,,,
#PolariseForVotes,2299208742,1,
,,,
#PolariseForVotes,7.7264E+17,3,
,,,
#PolariseForVotes,9.41967E+17,1,
,,,
#PolariseForVotes,2936568529,1,
,,,
#PolariseForVotes,8.49878E+17,2,
,,,
#PolariseForVotes,9.64539E+17,1,
,,,
#PolariseForVotes,41704277,1,
,,,
#PolariseForVotes,8.14502E+17,1,
,,,
#PolariseForVotes,140680084,1,
,,,
#PolariseForVotes,8.51985E+17,3,
,,,
#PolariseForVotes,4718729197,1,
,,,
#PolariseForVotes,65270878,1,
,,,
#PolariseForVotes,2549505211,5,
,,,
#PolariseForVotes,9.73518E+17,1,
,,,
#PolariseForVotes,2339865872,1,
,,,
#PolariseForVotes,9.18027E+17,1,
,,,
#PolariseForVotes,348889145,1,
,,,
#PolariseForVotes,9.17689E+17,1,
,,,
#PolariseForVotes,63921811,1,
,,,
#PolariseForVotes,9.61561E+17,1,
,,,
#PolariseForVotes,8.9423E+17,1,
,,,
#PolariseForVotes,523273603,1,
,,,
#PolariseForVotes,111312988,8,
,,,
#PolariseForVotes,57609357,1,
,,,
#PolariseForVotes,60523468,1,
,,,
#PolariseForVotes,9.33383E+17,1,
,,,
#PolariseForVotes,9.20179E+17,1,
,,,
#PolariseForVotes,2789733951,2,
,,,
#PolariseForVotes,9.24755E+17,1,
,,,
#PolariseForVotes,9.41942E+17,1,
,,,
#PolariseForVotes,4782989073,1,
,,,
#PolariseForVotes,7.70902E+17,1,
,,,
#PolariseForVotes,9.544E+17,1,
,,,
#PolariseForVotes,9.13745E+17,2,
,,,
#PolariseForVotes,593382831,1,
,,,
#PolariseForVotes,9.7756E+17,1,
,,,
#PolariseForVotes,1665449125,1,
,,,
#PolariseForVotes,255552776,1,
,,,
#PolariseForVotes,101353745,1,
,,,
#PolariseForVotes,873281912,1,
,,,
#PolariseForVotes,3152758129,2,
,,,
#PolariseForVotes,8.53781E+17,1,
,,,
#PolariseForVotes,8.06578E+17,1,
,,,
#PolariseForVotes,3586267092,1,
,,,
#PolariseForVotes,9.00697E+17,1,
,,,
#PolariseForVotes,9.7108E+17,1,
,,,
#PolariseForVotes,134541109,1,
,,,
#PolariseForVotes,440713623,1,
,,,
#PolariseForVotes,3554809639,1,
,,,
#PolariseForVotes,28848909,1,
,,,
#PolariseForVotes,1540654248,1,
,,,
#PolariseForVotes,960549523,1,
,,,
#PolariseForVotes,8.89071E+17,1,
,,,
#PolariseForVotes,84823872,1,
,,,
#PolariseForVotes,4869033881,1,
,,,
#PolariseForVotes,9.77791E+17,1,
,,,
#PolariseForVotes,415294882,1,
,,,
#PolariseForVotes,9.57472E+17,1,
,,,
#PolariseForVotes,9.74069E+17,1,
,,,
#PolariseForVotes,8.44615E+17,1,
,,,
#PolariseForVotes,7.79357E+17,1,
,,,
#PolariseForVotes,369322226,1,
,,,
#PolariseForVotes,1572579055,1,
,,,
#PolariseForVotes,103781676,1,
,,,
#PolariseForVotes,9.32618E+17,1,
,,,
#PolariseForVotes,9.61166E+17,1,
,,,
#PolariseForVotes,9.53118E+17,1,
,,,
#PolariseForVotes,9.24427E+17,1,
,,,
#PolariseForVotes,1366583012,1,
,,,
#PolariseForVotes,3752426356,1,
,,,
#PolariseForVotes,392576149,1,
,,,
#PolariseForVotes,90903189,1,
,,,
#PolariseForVotes,497720966,1,
,,,
#PolariseForVotes,7.98945E+17,1,
,,,
#PolariseForVotes,220444369,1,
,,,
#PolariseForVotes,122859503,1,
,,,
#PolariseForVotes,1270150182,3,
,,,
#PolariseForVotes,2501312005,1,
,,,
#PolariseForVotes,86498586,1,
,,,
#PolariseForVotes,3324424902,1,
,,,
#PolariseForVotes,3221665748,1,
,,,
#PolariseForVotes,2954411534,1,
,,,
#PolariseForVotes,3246659096,1,
,,,
#PolariseForVotes,9.67753E+17,1,
,,,
#PolariseForVotes,4298265553,1,
,,,
#PolariseForVotes,1915424844,1,
,,,
#PolariseForVotes,9.05328E+17,1,
,,,
#PolariseForVotes,1387196893,1,
,,,
#PolariseForVotes,1963231764,1,
,,,
#PolariseForVotes,1114158583,1,
,,,
#PolariseForVotes,8.78629E+17,7,
,,,
#PolariseForVotes,132547999,2,
,,,
#PolariseForVotes,8.91882E+17,1,
,,,
#PolariseForVotes,102319076,1,
,,,
#PolariseForVotes,602314773,1,
,,,
#PolariseForVotes,152524424,1,
,,,
#PolariseForVotes,9.63849E+17,1,
,,,
#PolariseForVotes,9.34516E+17,2,
,,,
#PolariseForVotes,3727643371,1,
,,,
#PolariseForVotes,9.45364E+17,3,
,,,
#PolariseForVotes,8.89402E+17,3,
,,,
#PolariseForVotes,9.48736E+17,4,
,,,
#PolariseForVotes,222811078,1,
,,,
#PolariseForVotes,398149620,3,
,,,
#PolariseForVotes,1959208178,1,
,,,
#PolariseForVotes,48686617,1,
,,,
#PolariseForVotes,28805170,12,
,,,
#PolariseForVotes,133827441,2,
,,,
#PolariseForVotes,7.44643E+17,1,
,,,
#PolariseForVotes,61524466,1,
,,,
#PolariseForVotes,135206284,1,
,,,
#PolariseForVotes,3057417686,6,
,,,
#PolariseForVotes,9.40594E+17,3,
,,,
#PolariseForVotes,9.53021E+17,7,
,,,
#PolariseForVotes,72088110,1,
,,,
#PolariseForVotes,2515173420,1,
,,,
#PolariseForVotes,406273294,1,
,,,
#PolariseForVotes,335198370,7,
,,,
#PolariseForVotes,9.71083E+17,3,
,,,
#PolariseForVotes,211413815,1,
,,,
#PolariseForVotes,2470365680,1,
,,,
#PolariseForVotes,3402941594,2,
,,,
#PolariseForVotes,9.18141E+17,1,
,,,
#PolariseForVotes,2350693345,1,
,,,
#PolariseForVotes,537619292,1,
,,,
#PolariseForVotes,9.70472E+17,1,
,,,
#PolariseForVotes,9.78891E+17,1,
,,,
#PolariseForVotes,9.7019E+17,8,
,,,
#PolariseForVotes,7.96724E+17,1,
,,,
#PolariseForVotes,9.60596E+17,1,
,,,
#PolariseForVotes,129416697,1,
,,,
#PolariseForVotes,8.82303E+17,1,
,,,
#PolariseForVotes,116649544,1,
,,,
#PolariseForVotes,9.77605E+17,1,
,,,
#PolariseForVotes,134420399,1,
,,,
#PolariseForVotes,2666597706,1,
,,,
#PolariseForVotes,382710210,4,
,,,
#PolariseForVotes,154078609,1,
,,,
#PolariseForVotes,8.40554E+17,3,
,,,
#PolariseForVotes,4923955220,13,
,,,
#PolariseForVotes,9.07427E+17,2,
,,,
#PolariseForVotes,136958068,3,
,,,
#PolariseForVotes,8.86979E+17,1,
,,,
#PolariseForVotes,7.93672E+17,1,
,,,
#PolariseForVotes,8.631E+17,2,
,,,
#PolariseForVotes,9.27772E+17,1,
,,,
#PolariseForVotes,1690355186,1,
,,,
#PolariseForVotes,875776219,7,
,,,
#PolariseForVotes,8.10088E+17,1,
,,,
#PolariseForVotes,9.7036E+17,1,
,,,
#PolariseForVotes,9.71031E+17,1,
,,,
#PolariseForVotes,207602302,1,
,,,
#PolariseForVotes,8.55695E+17,1,
,,,
#PolariseForVotes,28269709,1,
,,,
#PolariseForVotes,2719736287,1,
,,,
#PolariseForVotes,9.56594E+17,2,
,,,
#PolariseForVotes,9.31021E+17,1,
,,,
#PolariseForVotes,1075435874,1,
,,,
#PolariseForVotes,9.05877E+17,1,
,,,
#PolariseForVotes,254475622,1,
,,,
#PolariseForVotes,61587574,1,
,,,
#PolariseForVotes,9.21941E+17,1,
,,,
#PolariseForVotes,9.33666E+17,1,
,,,
#PolariseForVotes,9.02131E+17,1,
,,,
#PolariseForVotes,544596198,1,
,,,
#PolariseForVotes,9.75368E+17,1,
,,,
#PolariseForVotes,583643699,1,
,,,
#PolariseForVotes,58237517,1,
,,,
#PolariseForVotes,522119356,1,
,,,
#PolariseForVotes,8.87889E+17,1,
,,,
#PolariseForVotes,9.04385E+17,1,
,,,
#PolariseForVotes,9.63814E+17,1,
,,,
#PolariseForVotes,78331415,1,
,,,
#PolariseForVotes,447738707,1,
,,,
#PolariseForVotes,414563038,1,
,,,
#PolariseForVotes,9.62214E+17,8,
,,,
#PolariseForVotes,168629826,1,
,,,
#PolariseForVotes,2850839341,1,
,,,
#PolariseForVotes,1904362783,1,
,,,
#PolariseForVotes,76414951,1,
,,,
#PolariseForVotes,1925929110,1,
,,,
#PolariseForVotes,24259695,1,
,,,
#PolariseForVotes,9.40663E+17,1,
,,,
#PolariseForVotes,2414028252,1,
,,,
#PolariseForVotes,8.79876E+17,1,
,,,
#PolariseForVotes,83217902,1,
,,,
#PolariseForVotes,4826258377,1,
,,,
#PolariseForVotes,3413075354,1,
,,,
#PolariseForVotes,1184210395,1,
,,,
#PolariseForVotes,248322780,1,
,,,
#PolariseForVotes,7.63976E+17,1,
,,,
