Hashtag,User_ID,Count,
,,,112
Class X,8.99704E+17,1,
,,,
Class X,121146871,1,
,,,
Class X,9.79734E+17,1,
,,,
Class X,1141322714,1,
,,,
Class X,8.77786E+17,1,
,,,
Class X,2357685042,1,
,,,
Class X,9.76832E+17,1,
,,,
Class X,3282536012,1,
,,,
Class X,7.89706E+17,2,
,,,
Class X,9.77538E+17,1,
,,,
Class X,7.73196E+17,1,
,,,
Class X,1243298120,1,
,,,
Class X,16804541,6,
,,,
Class X,8.28176E+17,1,
,,,
Class X,2952276812,1,
,,,
Class X,124082205,1,
,,,
Class X,221720571,2,
,,,
Class X,7.62128E+17,1,
,,,
Class X,9.79966E+17,1,
,,,
Class X,18214949,3,
,,,
Class X,29945291,2,
,,,
Class X,129019531,1,
,,,
Class X,150826446,4,
,,,
Class X,8.47173E+17,1,
,,,
Class X,215287998,1,
,,,
Class X,338933052,3,
,,,
Class X,8.66807E+17,5,
,,,
Class X,140497964,1,
,,,
Class X,4754711663,1,
,,,
Class X,9.32124E+17,1,
,,,
Class X,142247671,1,
,,,
Class X,851101501,1,
,,,
Class X,9.72027E+17,1,
,,,
Class X,8.76804E+17,2,
,,,
Class X,141346299,1,
,,,
Class X,202816724,1,
,,,
Class X,91569694,1,
,,,
Class X,4209757274,95,
,,,
Class X,260200132,1,
,,,
Class X,9.62545E+17,6,
,,,
Class X,9.75665E+17,1,
,,,
Class X,112431790,2,
,,,
Class X,515238448,1,
,,,
Class X,9.71104E+17,1,
,,,
Class X,7.14418E+17,1,
,,,
Class X,9.50378E+17,1,
,,,
Class X,278905379,3,
,,,
Class X,8.32449E+17,1,
,,,
Class X,2932018266,1,
,,,
Class X,7.80319E+17,2,
,,,
Class X,169613902,1,
,,,
Class X,283151536,1,
,,,
Class X,8.97876E+17,1,
,,,
Class X,64656538,1,
,,,
Class X,304315583,1,
,,,
Class X,2923084003,1,
,,,
Class X,162390774,2,
,,,
Class X,949868454,1,
,,,
Class X,9.65842E+17,1,
,,,
Class X,1960976809,8,
,,,
Class X,9.79789E+17,1,
,,,
Class X,8.30377E+17,1,
,,,
Class X,9.38984E+17,4,
,,,
Class X,8.20775E+17,1,
,,,
Class X,8.8844E+17,1,
,,,
Class X,595602966,2,
,,,
Class X,421006058,3,
,,,
Class X,4164571696,1,
,,,
Class X,837869887,7,
,,,
Class X,7.37754E+17,1,
,,,
Class X,272871004,1,
,,,
Class X,3384855453,1,
,,,
Class X,7.37997E+17,1,
,,,
Class X,796178484,1,
,,,
Class X,9.68039E+17,1,
,,,
Class X,7.71999E+17,10,
,,,
Class X,9.41243E+17,1,
,,,
Class X,8.73537E+17,2,
,,,
Class X,2732668863,3,
,,,
Class X,7.55367E+17,2,
,,,
Class X,449660671,1,
,,,
Class X,9.51428E+17,1,
,,,
Class X,9.48852E+17,1,
,,,
Class X,9.20608E+17,1,
,,,
Class X,8.48815E+17,1,
,,,
Class X,9.74949E+17,1,
,,,
Class X,18140095,1,
,,,
Class X,7.94117E+17,1,
,,,
Class X,9.70189E+17,1,
,,,
Class X,523596222,1,
,,,
Class X,9.45709E+17,1,
,,,
Class X,9.74018E+17,1,
,,,
Class X,4067944095,1,
,,,
Class X,8.8291E+17,1,
,,,
Class X,9.76129E+17,1,
,,,
Class X,101188435,4,
,,,
Class X,85051730,1,
,,,
Class X,9.7145E+17,1,
,,,
Class X,918372090,1,
,,,
Class X,9.15065E+17,1,
,,,
Class X,9.18567E+17,1,
,,,
Class X,9.48919E+17,2,
,,,
Class X,9.79949E+17,1,
,,,
Class X,1032072445,1,
,,,
Class X,82815038,2,
,,,
Class X,1357212962,2,
,,,
Class X,41649475,1,
,,,
Class X,2831420532,1,
,,,
Class X,1627488368,1,
,,,
Class X,149810055,2,
,,,
Class X,9.77481E+17,1,
,,,
Class X,9.65913E+17,1,
,,,
Class X,9.56131E+17,2,
,,,
Class X,8.06909E+17,2,
,,,
Class X,1169559752,1,
,,,
Class X,1401919796,1,
,,,
Class X,228116642,1,
,,,
Class X,9.68012E+17,1,
,,,
Class X,8.36776E+17,1,
,,,
Class X,1342219501,3,
,,,
Class X,163075368,1,
,,,
Class X,2430765732,1,
,,,
Class X,102367303,1,
,,,
Class X,3190548498,1,
,,,
Class X,61215628,1,
,,,
Class X,9.79947E+17,2,
,,,
Class X,363034221,1,
,,,
Class X,100624768,1,
,,,
Class X,9.79949E+17,1,
,,,
Class X,8.95666E+17,1,
,,,
Class X,1953849451,1,
,,,
Class X,3533129662,1,
,,,
Class X,538334222,1,
,,,
Class X,8.12534E+17,1,
,,,
Class X,2359140223,22,
,,,
Class X,2505657685,1,
,,,
Class X,226140741,4,
,,,
Class X,9.40791E+17,1,
,,,
Class X,2895189816,1,
,,,
Class X,9.64281E+17,1,
,,,
Class X,1706511326,1,
,,,
Class X,1935574615,1,
,,,
Class X,233177214,1,
,,,
Class X,9.72316E+17,1,
,,,
Class X,9.10411E+17,14,
,,,
Class X,116749385,3,
,,,
Class X,148592857,1,
,,,
Class X,8.4636E+17,1,
,,,
Class X,2283660313,1,
,,,
