Hashtag,User_ID,Count,49
,,,
#ThursdayThoughts,7.33734E+17,3,
,,,
#ThursdayThoughts,248061751,1,
,,,
#ThursdayThoughts,9.1895E+17,1,
,,,
#ThursdayThoughts,411971228,1,
,,,
#ThursdayThoughts,8.6387E+17,1,
,,,
#ThursdayThoughts,8.33781E+17,1,
,,,
#ThursdayThoughts,7.41417E+17,1,
,,,
#ThursdayThoughts,8.54764E+17,1,
,,,
#ThursdayThoughts,3408278818,1,
,,,
#ThursdayThoughts,9.55807E+17,1,
,,,
#ThursdayThoughts,9.79507E+17,1,
,,,
#ThursdayThoughts,1950275317,1,
,,,
#ThursdayThoughts,16585101,1,
,,,
#ThursdayThoughts,2904699168,1,
,,,
#ThursdayThoughts,1957549567,1,
,,,
#ThursdayThoughts,4399900999,1,
,,,
#ThursdayThoughts,2898729299,1,
,,,
#ThursdayThoughts,9.4182E+17,1,
,,,
#ThursdayThoughts,7.09308E+17,9,
,,,
#ThursdayThoughts,740874799,1,
,,,
#ThursdayThoughts,8.53319E+17,1,
,,,
#ThursdayThoughts,262047540,1,
,,,
#ThursdayThoughts,1740229424,1,
,,,
#ThursdayThoughts,7.83474E+17,1,
,,,
#ThursdayThoughts,9.79671E+17,1,
,,,
#ThursdayThoughts,781291734,1,
,,,
#ThursdayThoughts,2397960409,2,
,,,
#ThursdayThoughts,352691921,1,
,,,
#ThursdayThoughts,143828369,1,
,,,
#ThursdayThoughts,9.36903E+17,1,
,,,
#ThursdayThoughts,9.79675E+17,1,
,,,
#ThursdayThoughts,9.79671E+17,1,
,,,
#ThursdayThoughts,8.45415E+17,1,
,,,
#ThursdayThoughts,1918770956,1,
,,,
#ThursdayThoughts,8.43578E+17,1,
,,,
#ThursdayThoughts,1083596054,1,
,,,
#ThursdayThoughts,2297983560,1,
,,,
#ThursdayThoughts,9.74404E+17,1,
,,,
#ThursdayThoughts,2479469234,2,
,,,
#ThursdayThoughts,7.32249E+17,1,
,,,
#ThursdayThoughts,242951171,1,
,,,
#ThursdayThoughts,260229730,1,
,,,
#ThursdayThoughts,9.51175E+17,2,
,,,
#ThursdayThoughts,94979487,1,
,,,
#ThursdayThoughts,9.7501E+17,1,
,,,
#ThursdayThoughts,2800466323,1,
,,,
#ThursdayThoughts,9.79673E+17,1,
,,,
#ThursdayThoughts,20543796,1,
,,,
#ThursdayThoughts,8.18151E+17,1,
,,,
#ThursdayThoughts,8.02633E+17,2,
,,,
#ThursdayThoughts,9.54461E+17,1,
,,,
#ThursdayThoughts,8.35225E+17,1,
,,,
#ThursdayThoughts,55960316,1,
,,,
#ThursdayThoughts,4831120834,1,
,,,
#ThursdayThoughts,2803096103,1,
,,,
#ThursdayThoughts,885878342,2,
,,,
#ThursdayThoughts,8.93143E+17,1,
,,,
#ThursdayThoughts,9.77268E+17,1,
,,,
#ThursdayThoughts,40179650,1,
,,,
